Chinese,English
部分,part
历史,history
搜索,search
只要,only
警察,police
想法,thought
帮助,help
要求,request
种类,kind
月,month
兄弟,brother
让,let
因为,because
放在,to put
不,no
皮带,leash
他们,them
城市,city
每个,each
说话,speak
来,come
应该,should
婴儿,baby
很久,long time
小时,hours
将要,will
尽管,while
再次见面,meet again
任何,any
正方形,square
说话,speak
了解,understood
知道,knew
是,were
警告,Warning
这是,here is
可以,could
案件,case
给,give
类型,type
他们的,their
特定,given
火车,train
身体,body
地方,place
眼睛,eyes
办法,way
听,listen
谁的,whose
找,find
第一的,first
丢失的,lost
手,hand
第一的,first
边,side
力量,power
老的,old
是,be
这里,here
早晨,morning
非常,so much
孩子,child
观点,point
来了,came
后,after
对不起,sorry
来,come
在...前面,in front of
向,towards
分钟,minutes
要求,request
卧室,bedroom
放置,placed
美丽的,beautiful
法律,law
想,would like to
今天,today
丈夫,husband
原因,cause
最后,finally
希望,hope
水,water
等待,Wait
剩下,left
新的,new
工作,job
停止,Stop
会说,would say
部分,Earth
历史,account
搜索,given
只要,far
警察,end
想法,believe
帮助,sweetheart
要求,large
种类,rather
月,will have
兄弟,girls
让,to play
因为,office